PLAYER_NAME,ID,GAMES,SEASONS,group
Tony Snell,203503,442,6,1
Trey Burke,203504,361,6,4
Vander Blue,203505,10,3,3
Victor Oladipo,203506,401,6,6
Giannis Antetokounmpo,203507,465,6,6
Sergey Karasev,203508,95,3,1
Lucas Nogueira,203512,140,4,0
Phil Pressey,203515,148,3,3
James Ennis III,203516,278,5,2
Alex Abrines,203518,174,3,4
Matthew Dellavedova,203521,376,6,3
Solomon Hill,203524,305,6,1
Raul Neto,203526,199,4,3
Ryan Kelly,203527,163,4,1
Joffrey Lauvergne,203530,208,4,0
Vitor Faverani,203543,37,1,0
Pero Antic,203544,113,2,1
Ian Clark,203546,330,6,4
Seth Curry,203552,192,5,4
Brandon Davies,203561,78,2,2
Larry Drew II,203580,22,2,3
Troy Daniels,203584,292,6,4
Rodney McGruder,203585,162,3,1
Jonathon Simmons,203613,258,4,2
Josh Magette,203705,18,1,3
C.J. Williams,203710,53,2,1
PJ Hairston,203798,111,2,4
Shabazz Napier,203894,289,5,3
Jordan McRae,203895,86,3,2
Zach LaVine,203897,293,5,6
Tyler Ennis,203898,185,4,3
Markel Brown,203900,113,3,2
Elfrid Payton,203901,342,5,6
Semaj Christon,203902,64,1,3
Jordan Clarkson,203903,381,5,6
Devyn Marble,203906,44,2,3
KJ McDaniels,203909,148,3,2
Jabari Brown,203913,19,1,4
Gary Harris,203914,311,5,4
Spencer Dinwiddie,203915,253,5,3
Nik Stauskas,203917,335,5,1
Rodney Hood,203918,320,5,4
Khem Birch,203920,92,2,0
Cleanthony Early,203921,56,2,1
Glenn Robinson III,203922,219,5,1
Jerami Grant,203924,382,5,2
Joe Harris,203925,261,5,4
Doug McDermott,203926,341,5,1
Cory Jefferson,203928,58,2,0
Sean Kilpatrick,203930,157,4,4
Aaron Gordon,203932,341,5,2
T.J. Warren,203933,261,5,2
Lamar Patterson,203934,40,2,1
Marcus Smart,203935,340,5,3
Kyle Anderson,203937,300,5,3
Dwight Powell,203939,331,5,5
Adreian Payne,203940,107,4,0
Noah Vonleh,203943,299,5,0
Julius Randle,203944,310,5,5
Johnny O'Bryant III,203948,147,4,0
Andrew Wiggins,203952,399,5,2
Jabari Parker,203953,247,5,2
Joel Embiid,203954,158,3,5
Mitch McGary,203956,52,2,5
Dante Exum,203957,204,4,1
JaKarr Sampson,203960,173,4,2
Eric Moreland,203961,82,4,0
Josh Huestis,203962,76,3,1
Jamil Wilson,203966,15,1,4
Dario Saric,203967,240,3,4
Clint Capela,203991,295,5,5
Bogdan Bogdanovic,203992,148,2,4
Jusuf Nurkic,203994,310,5,5
Bruno Caboclo,203998,69,5,1
Nikola Jokic,203999,307,4,5
Kristaps Porzingis,204001,186,3,5
Damjan Rudez,204014,146,3,1
Tyler Johnson,204020,270,5,4
Tim Frazier,204025,245,5,3
Tarik Black,204028,220,4,0
Travis Wear,204037,68,2,1
Langston Galloway,204038,337,5,4
Joe Ingles,204060,406,5,3
Xavier Munford,204098,20,2,3
